charity_id,charity_name,charity_mission,charity_url,category_id,category_name,sub_category,work_type,state,city,latitude,longitude,minage,maxage,accountability_score,financial_score,overall_score,total_contributions
11,Hyde Park Art Center,"Hyde Park Art Center has been a leader in advancing contemporary visual art in Chicago since 1939. With an expansive reach and bold personality, the nonprofit organization brings artists and communities together to support creativity at every level. As an open forum for exploring the artistic process, the Art Center fosters creativity through making, learning about, seeing, and discussing artÃ¢â‚¬Å¡Ãƒâ€žÃƒÂ®all under one roof. By developing socially adept programming that finds new ways to engage diverse audiences in the work of Chicago's artists, the Art Center makes space for transparent interaction with art and the artistic process, inspiring creative exploration and encouraging exchange between audiences and artists. Outside its walls, the Art Center's outreach programs in historically underserved neighborhoods bring the visual arts to Chicago youth, their teachers, and their families.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15747,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Museums,IL,Chicago,40.349457,-88.986137,31,43,85,90.27,87.35,1287542
12,The Hyde Collection,"The Hyde Collection's mission is to develop and highlight a collection of international importance, create exhibitions of regional and national significance, and provide invigorating educational programs to its core local audiences and communities. The Hyde's collection is a truly remarkable group of works and is a testament to the vision of our founder, Charlotte Pruyn Hyde, and her husband, Louis Fiske Hyde. Works from the collection the Rembrandt, the Rubens, the Picasso, the Renoirs, and the Hassam, for instance are constantly in demand by museums around the world as they plan their exhibitions. A large part of this collection is installed in the elegant atmosphere of historic Hyde House, an American Renaissance mansion built in 1912. Our educational programming impacts the lives of thousands of local children as well as families, adults, and seniors.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11456,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Museums,NY,Glens Falls,42.165726,-74.948051,44,100,89,81.78,84.95,3051056
13,Huntsville Symphony Orchestra,"Founded in 1954, the Huntsville Symphony Orchestra (HSO) is the oldest, continuously operating professional orchestra in the state of Alabama. The HSO's mission is to promote and encourage the understanding, appreciation, and study of the art of music. For over five decades, the HSO's acclaimed concerts and award-winning education programs have inspired performers, audiences, children, benefactors and the entire community.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14797,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Performing Arts,AL,Huntsville,32.806671,-86.79113,31,43,89,75.39,80.93,1044160
14,Huntington's Disease Society of America,"The Huntington's Disease Society of America (HDSA) is a national, voluntary health organization dedicated to improving the lives of people with Huntington's Disease and their families. Founded in 1967, HDSA promotes and supports research and medical efforts to eradicate Huntington's Disease; assists people and families affected by Huntington's Disease to cope with the problems presented by the disease; and educates the public and health professionals about Huntington's Disease. Huntington's Disease (HD) is a devastating, hereditary, degenerative brain disorder for which there is, at present, no effective treatment or cure. HD slowly diminishes the affected individual's ability to walk, think, talk and reason.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13075,4,Health and Education,Health ,"Diseases, Disorders, and Disciplines",NY,New York,42.165726,-74.948051,44,100,100,87.34,91.04,8562031
15,Huron River Watershed Council,"Founded in 1965, the Huron River Watershed Council (HRWC) is southeast Michigan's oldest environmental organization dedicated to river protection. The Huron River Watershed Council protects and restores the river for healthy and vibrant communities. HRWC is a nonprofit coalition of Huron Valley residents, businesses, and local governments. The Council bridges political boundaries by building partnerships between and among communities, community leaders, residents, and commercial enterprises. Serving those constituencies, HRWC monitors the Huron River, its tributaries, lakes, and groundwater, and directs multiple programs addressing pollution prevention and abatement, wetland and floodplain protection, citizen education, and natural resource and land-use planning.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16855,2,Animals and Environment,Environment ,Environmental Protection and Conservation,MI,Ann Arbor,0,0,0,100,100,91.9,94.27,1063890
16,Byrnes Health Education Center,"Founded in 1989, The Susan P. Byrnes Health Education Center was created to educate and inspire people of all ages to make healthy choices. The Susan P. Byrnes Health Education Center continues to grow to be a leading resource of innovative, high-quality, effective health education. This growth has driven the emergence of four educational platforms: Teaching Theaters, Outreach, Adult Education and eLearning. To date, over 7 million children and adults have discovered the wonders of life through our dynamic health education programs. They are inspired to take charge of their health.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12426,4,Health and Education,Health ,Treatment and Prevention Services,PA,York,40.590752,-77.209755,44,100,89,83.8,86.15,809534
17,Huntsville Botanical Garden,"Huntsville Botanical Garden's mission is to achieve world-class recognition by balancing year-round botanical displays, strong educational programs and specialized research. The unique aspect of our Garden will be the blending of traditional botanical garden elements, the aesthetic heritage of our region, the conservation of our natural resources, and our thrust into the future.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17198,2,Animals and Environment,Environment ,"Botanical Gardens, Parks, and Nature Centers",AL,Huntsville,32.806671,-86.79113,31,43,89,90.95,89.92,10103153
18,Huntsville Museum of Art,"The Huntsville Museum of Art is North Alabama's leading visual arts center. The Museum seeks to foster understanding of the visual arts and appreciation of artistic achievement. The mission of the Museum is to bring people and art together through acquiring, preserving, exhibiting and interpreting the highest quality works of art. The Museum's own permanent collection is comprised of over 3,000 objects and also forms the basis for several exhibitions each year. In addition, the Museum offers reception areas on the gallery level and in the Great Hall for weddings, meetings and other events.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14766,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Museums,AL,Huntsville,32.806671,-86.79113,44,100,81,73.91,77.17,1985118
19,Cystic Fibrosis Foundation,"The Cystic Fibrosis Foundation (CFF) was established in 1955 to assure the development of the means to cure and control cystic fibrosis (CF) and to improve the quality of life for those with the disease. The Foundation is the leading organization in the United States devoted to cystic fibrosis. It funds and accredits more than 115 CF care centers, 95 adult care programs and 50 affiliate programs, and has 80 chapters and branch offices nationwide. Cystic fibrosis is an inherited chronic disease that affects the lungs and digestive system of about 30,000 children and adults in the United States (70,000 worldwide). A defective gene and its protein product cause the body to produce unusually thick, sticky mucus.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9142,4,Health and Education,Health ,"Diseases, Disorders, and Disciplines ,This rating represents consolidated financial data for these organizations",MD,Bethesda,39.063946,-76.802101,17,30,93,97.35,94.7,122210533
20,Curious Theatre Company,"The mission of Curious Theatre Company is to engage the community in important contemporary issues through provocative modern theatre. Curious Theatre Company was founded by a group of artists who met 15 years ago while mounting Tony Kushner's Angels in America (produced by Hunger Artists) in the 19th-century church the theatre still calls home, a few blocks south of the Denver Art Museum and State Capitol. Under the artistic leadership of Producing Artistic Director Chip Walton, Curious produces up to five mainstage shows per season, the award-winning Curious New Voices education program, the fun and innovative Denver Stories (honoring area luminaries) and myriad of events and interactions that extend and enrich the experience of our audiences.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13445,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Performing Arts,CO,Denver,39.059811,-105.311104,31,43,85,74.6,79.14,861035
21,Cure SMA,"Founded in 1984, Cure SMA leads the way to a world without spinal muscular atrophy, the number one genetic cause of death for infants. We fund and direct comprehensive research that drives breakthroughs in treatment and care, and we provide families the support they need for today. Our commitment to a treatment and cure is not just about seeking solutionsÃ¢â‚¬Å¡Ãƒâ€žÃƒÂ®it's also about creating them. We're working with some of today's sharpest minds to advance a diversity of approaches and champion the most promising discoveries and methods.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12524,4,Health and Education,Health ,"Diseases, Disorders, and Disciplines",IL,Elk Grove Village,40.349457,-88.986137,31,43,100,78.2,84.58,5818435
22,CurePSP,"CurePSP, Inc. is dedicated to increasing awareness of progressive supranuclear palsy (PSP), corticobasal degeneration (CBD), and related brain diseases; advancing research toward cure and prevention; educating healthcare professionals; and providing support, education and hope for affected persons and their families. 

PSP and CBD are neurodegenerative brain diseases that have no known cause, treatment or cure. They affect nerve cells that control walking, balance, mobility, vision, speech, and swallowing. Five to six people per 100,000 will develop PSP. CBD affects an estimated 2000-3000 people in United States, of whom only 500-750 are diagnosed.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9827,4,Health and Education,Health ,Medical Research,NY,New York,42.165726,-74.948051,31,43,96,86.36,89.94,3119335
23,CURE International,CURE is a network of charitable hospitals and surgical programs that delivers life-changing medical care and the good news of God's love to children and families with treatable conditions.,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5545,1,International ,International ,Development and Relief Services,PA,New Cumberland,40.590752,-77.209755,17,30,100,92.5,94.69,23035192
24,DÃƒÆ’Ã‚Â©gagÃƒÆ’Ã‚Â© Ministries,"Serving 400-500 individuals daily, DÃ¢Ë†Å¡Ã‚Â©gagÃ¢Ë†Å¡Ã‚Â© Ministries offers help and hope to homeless and disadvantaged individuals in their community. DÃ¢Ë†Å¡Ã‚Â©gagÃ¢Ë†Å¡Ã‚Â© Ministries was founded in 1969 and provides responsive programming that is designed to address immediate and long-term needs such as overnight respite for women in crisis, food, referral services and hygiene facilities. These programs include: overnight shelter for women in crisis, low-cost and free meals, hygiene facilities such as showers, laundry and haircuts, lockers to safely store belongings, identification through the State Identification Program, supportive services to meet housing, employment and other goals, pro-bono legal services, support groups and Bible studies, and consumer choice food pantry.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12604,5,Human Services ,Human Services ,Homeless Services,MI,Grand Rapids,43.326618,-84.536095,31,43,82,89.5,85.26,1737373
25,Cystinosis Research Foundation,"The mission of the Cystinosis Research Foundation is to support bench, clinical and translational research for better treatments and a cure for cystinosis. Through our aggressively funded research agenda, the Cystinosis Research Foundation issues grants for bench and clinical research studies bi-annually in order to accelerate research progress and ensure that cystinosis research is on-going and focused on novel treatments and a cure. The Cystinosis Research Foundation is dedicated to educating the public and the medical community about cystinosis to ensure early diagnosis and proper treatment.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12069,4,Health and Education,Health ,Medical Research,CA,Irvine,36.116203,-119.681564,44,100,100,86.88,90.72,4818959
26,dZi Foundation,"The dZi Foundation is a Ridgway, CO-based non-profit founded in 1998 by longtime mountaineers Jim Nowak and Kim Reynolds. We work in partnership with remote communities in Nepal to create lasting improvements in their quality of life. We accomplish this through implementing community-driven programs that improve public facilities, public health, income levels and educational opportunities while preserving community unity, the natural environment, and indigenous culture. In 2001, dZi established itself as a Colorado-based 501Ã‚Â¬Ã‚Â©(3). Since that time, the organization has grown significantly and has honed its focus on community-led development projects in some of the most remote communities in Nepal. dZi currently serves people in an expanding network of remote villages, focusing primarily on basic infrastructure like school buildings, toilets, drinking water systems and bridges as well as agriculture initiatives.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12599,1,International ,International ,Development and Relief Services,CO,Ridgway,39.059811,-105.311104,31,43,100,94.64,96.2,1453104
27,Dystrophic Epidermolysis Bullosa Research Association of America (debra of America),"The Dystrophic Epidermolysis Bullosa Research Association of America (debra of America), is the only national non-profit that provides all inclusive care to those with Epidermolysis Bullosa (EB). Our mission is to fund research and provide free services and programs for those with EB - The Worst Disease You've Never Heard Of. EB is a rare, connective tissue disorder with many genetic and symptomatic variations that affects 1 out of every 20,000 live births in the United States. All of its forms share the prevalent symptom of extremely fragile skin that blisters and tears with any friction or trauma. The list of secondary complications and illnesses can be long as every internal organ and bodily system can be affected by the disorder.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11965,4,Health and Education,Health ,"Diseases, Disorders, and Disciplines",NY,New York,42.165726,-74.948051,17,30,96,94.71,95.31,749944
28,CuriOdyssey,"CuriOdyssey, formerly Coyote Point Museum, is a science museum and native animal zoo recognized locally and nationally as a leader in informal science education. As a science and wildlife center, CuriOdyssey helps children acquire the tools to deeply understand the changing world. Since 1953, we have connected children of all ages to the wonders of the natural world. Today, we continue to spark the curiosity and imagination of more than 100,000 children and families each year through interactive science exhibits, exciting animal encounters, and engaging school and public programs.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12769,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Museums,CA,San Mateo,36.116203,-119.681564,31,43,100,81.16,86.67,5578134
29,Dystonia Medical Research Foundation,"The Dystonia Medical Research Foundation (DMRF) was founded in 1976. Dystonia is a movement disorder that causes the muscles to contract and spasm involuntarily. The mission of the DMRF is to advance research for more treatments and ultimately a cure; to promote awareness and education; and to support the needs and well being of affected individuals and families. Dedicated to serving the needs of all persons affected with dystonia and their families, the DMRF has grown from a small family-based foundation to a membership-driven organization of approximately 38,000 persons.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6640,4,Health and Education,Health ,Medical Research,IL,Chicago,40.349457,-88.986137,44,100,100,83.97,88.66,5109815
30,24 Foundation,"Founded in 2005, 24 Foundation (formerly 24 Hours of Booty) works to integrate community cancer fundraising and cycling to engage communities in support of cancer survivorship and navigation programs. We support and raise funds for local and national cancer organizations by conducting safe, fun and family-friendly bicycling events for all abilities. Our goal is to grow participation and fundraising by increasing the number of quality events held in communities worldwide.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15235,4,Health and Education,Health ,Medical Research,NC,Charlotte,35.630066,-79.806419,44,100,89,80,83.85,1999290
31,Dumb Friends League,"The Dumb Friends League is committed to the welfare of animals: we shall provide shelter and care for animals; we shall provide programs and services that enhance the bond between animals and people; and we shall be advocates for animals, speaking for those who cannot speak for themselves.Founded in 1910, the Dumb Friends League is a national leader in providing humane care to lost and abandoned pets, adopting pets to new homes, helping pets stay in homes, educating pet owners and the public, and rescuing sick, injured and abused animals, providing free or low cost spay/neuter and veterinary services. The Harmony Equine Center receives abused and neglected horses that are removed from owners by law enforcement agencies, offering them rehabilitation, training and adoption opportunities. The largest independent, community-based animal welfare organization in the Rocky Mountain region, it receives more than 21,000 animals a year.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3610,2,Animals and Environment,Animals ,"Animal Rights, Welfare, and Services",CO,Denver,39.059811,-105.311104,44,100,100,89.94,92.88,12195279
32,Durham Rescue Mission,"The Durham Rescue Mission is a faith-based, non-profit organization. Our primary goal is to share the gospel of Jesus Christ and His redemptive work on the cross. The Durham Rescue Mission is achieving this goal as we minister to the homeless and addicted in central North Carolina. Our Mission is to meet through the power of Jesus Christ the needs of the whole person: spiritual, educational, emotional, physical, social, and vocational, so that those who are hurting may become fully functioning members of society.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8985,5,Human Services ,Human Services ,Homeless Services,NC,Durham,35.630066,-79.806419,31,43,100,100,100,7897648
33,Dutchess County SPCA,To make Dutchess County safe and humane for companion animals and people by providing temporary shelter for stray and homeless companion animals primarily in Dutchess County and in an environment that meets or exceeds the needs of the companion animals; Ã‚Â¬Ã¢Ë†â€˜actively encourages adoptions with new families; and facilitates companion animal and care retention by working collaboratively and compassionately with companion animal owners through our humane law department and accessible veterinary wellness clinic.,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6764,2,Animals and Environment,Animals ,"Animal Rights, Welfare, and Services",NY,Hyde Park,42.165726,-74.948051,17,30,93,86.19,89.05,748227
34,DuPage PADS,"The mission of DuPage PADS is to end homelessness in DuPage County. The solution to end homelessness is more complex than providing individuals with food and shelter. Founded in 1985, DuPage PADS is the largest provider of interim and permanent housing, coupled with support services in order to help individuals work toward becoming self-sufficient. These vital support services enable the individuals we help to receive case management and life coaching, employment support such as GED courses and job coaching, as well as engagement with employers-effectively stopping the cycle of homelessness.With the support of more than 130 congregations and organizations, 4,000 volunteers and numerous community advocates and other service organizations, we were able to offer hope for more than 1,398 families and individuals in our communities through housing programs and support services.DuPage PADS IS the solution to end homelessness-because when someone believes in you, everything can change.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12278,5,Human Services ,Human Services ,Homeless Services,IL,Wheaton,40.349457,-88.986137,31,43,100,82.83,87.85,4045611
35,DuPage Children's Museum,"DuPage Children's Museum, founded in 1987, offers a variety of programs designed to stimulate the creativity and problem-solving skills among young children as well as programs to support the adults who work with and care for children. These programs include interactive, hands-on experiences for children, learning labs and workshops for education professionals. In addition, the museum provides community support and resources for children with autism spectrum disorders, visual impairments and or mobility impairments.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14735,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Museums,IL,Naperville,40.349457,-88.986137,44,100,78,81.13,79.5,1303678
36,Ducks Unlimited,"The vision of Ducks Unlimited (DU) is wetlands sufficient to fill the skies with waterfowl today, tomorrow and forever. DU conserves, restores and manages wetlands and associated habitats for North America's waterfowl. These habitats also benefit other wildlife and people. 
The core values and guiding principles of Ducks Unlimited's team of staff and volunteers are: 

conserving North America's waterfowl and wetlands; 

acting to uphold the reputation of DU, treating people and wildlife with respect; 

evaluating our programs to guide us and ensure credibility; 

working together as volunteers and staff; 

valuing and enjoying the sport and heritage of hunting; 

partnering with those who share common goals and values; and 

celebrating the culture of DU as we serve our members.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3631,2,Animals and Environment,Animals ,"Wildlife Conservation ,This rating represents consolidated financial data for these organizations",TN,Memphis,35.747845,-86.692345,44,100,96,84.07,88.38,207789444
37,Dubuque County Historical Society,"The Dubuque County Historical Society (DCHS) has its roots in the Richard Herrmann Museum of Natural History, established in the 1870s. The DCHS was formed in 1950 as a private, non-profit organization with a focus on oral and archival history; and it opened its first museum, the Mathias Ham House, in 1964. Over the past 25 years the DCHS has successfully raised $54 million to organize and expand its Mississippi River Museum into the National Mississippi River Museum & Aquarium. The Museum & Aquarium is accredited by the American Association of Museums - a distinction held by only 9 percent of American museums, was named an affiliate of the Smithsonian Institution in August 2002, and was accredited by the Association of Zoos & Aquariums in 2009.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12812,3,"Arts, Culture, Humanities ","Arts, Culture, Humanities ",Museums,IA,Dubuque,42.011539,-93.210526,44,100,89,93.25,90.87,1447829
38,4 Paws for Ability ,"The mission of 4 Paws for Ability is to: enrich the lives of children and veterans with disabilities by the training and placement of service dogs to provide them with companionship and promote independent living; educate the public to accept the use of service dogs in public places. Funding of a 4 Paws' service dog is partially the responsibility of the children's family. Veterans are free. Applicants typically use fund-raising activities or pay a fee for service to gather these funds, and 4 Paws assists the applicant as necessary. 4 Paws has no eligibility requirements beyond a physician statement that the person requesting a service dog has a disability as defined by the Americans with Disabilities Act of 1990.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13055,5,Human Services ,Human Services ,Social Services,OH,Xenia,40.388783,-82.764915,17,30,100,92.5,94.69,976681
39,Dubuque Regional Humane Society,"Dubuque Regional Humane Society (DRHS) protects and promotes the well-being of all animals by fostering respect for their inherent dignity. DRHS envisions a community where every pet has a permanent and loving home, companion animals are spayed or neutered and all animals are treated with respect and compassion.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14181,2,Animals and Environment,Animals ,"Animal Rights, Welfare, and Services",IA,Dubuque,42.011539,-93.210526,17,30,82,93.05,86.35,200955
40,Drugs for Neglected Diseases Initiative North America,"The mission of Drugs for Neglected Diseases Initiative North America (DNDi NA) is to develop new drugs, or new formulations of existing drugs, for patients suffering from the most neglected communicable diseases. Acting in the public interest, DNDi bridges existing R&D gaps in essential drugs for these diseases by initiating and coordinating drug R&D projects in collaboration with the international research community, the public sector, the pharmaceutical industry, and other relevant partners. DNDi's primary focus has been the development of drugs for the most neglected diseases, such as human African trypanosomiasis (HAT, or sleeping sickness), visceral leishmaniasis (kala-azar), and Chagas disease, while considering engagement in R&D projects for other neglected diseases or development of diagnostics and/or vaccines to address unmet needs that others are unable or unwilling to address.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16059,4,Health and Education,Health ,Medical Research,NY,New York,42.165726,-74.948051,44,100,96,79.98,85.56,3218741
42,Dress for Success Worldwide,"Dress for Success is an international not-for-profit organization that empowers women to achieve economic independence by providing a network of support, professional attire and the development tools to help women thrive in work and in life. Since starting operations in 1997, Dress for Success has expanded to over 150 cities in 30 countries. To date, Dress for Success has helped more than one million women work towards self-sufficiency.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7942,5,Human Services ,Human Services ,Social Services,NY,New York,42.165726,-74.948051,44,100,96,90,92.38,20539140
43,Dreams Come True,"In 25 years, Dreams Come True has made the special desires of almost 2,400 children come true. Dreams provide these wonderful children and their families with a momentary reprieve from the rigors of medical treatment often associated with life-threatening illnesses. A dream temporarily removes the child from doctor visits, hospital stays, tests and needles and brings laughter, joy and childhood to the forefront. Dreams give the children and their families memories to carry them through the rough times and smiles to last a lifetime. Dreams bring hope and the promise of tomorrow. All children between the ages of two and a half and eighteen who have been diagnosed with a life-threatening illness and either live or are treated in Northeast Florida or Southeast Georgia are eligible for a dreams.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9624,4,Health and Education,Health ,Patient and Family Support,FL,Jacksonville,27.766279,-81.686783,17,30,93,99.85,95.04,1825630
